#{"t_start": 1758460157.1506329, "env_id": "None"}
r,l,t
-18.0,32,5.383312
-102.0,3,5.384142
-102.0,3,5.385628
-102.0,3,5.386388
-102.0,3,5.387892
-102.0,3,5.390392
-102.0,3,5.391092
-102.0,3,5.392517
-102.0,3,5.3932
-102.0,3,5.39457
-102.0,3,5.395974
-27.0,32,5.408398
-23.0,32,5.420976
-102.0,3,5.422468
-105.0,6,5.424706
-22.0,32,5.437727
-23.0,32,5.453071
-113.0,14,5.458901
-129.0,30,5.47038
-20.0,32,5.48282
-21.0,32,5.496002
-102.0,3,5.496755
-20.0,32,5.509697
-21.0,32,5.521968
-103.0,4,5.523742
-23.0,32,5.536301
-18.0,32,5.549432
-15.0,32,5.565137
-15.0,32,5.578955
-16.0,32,5.593044
-22.0,32,5.606092
-101.0,2,5.607363
-21.0,32,5.619946
-102.0,3,5.621447
-24.0,32,5.633361
-23.0,32,5.645859
-25.0,32,5.66159
-107.0,8,5.66472
-104.0,5,5.666727
-105.0,6,5.670112
-105.0,6,5.672447
-105.0,6,5.674721
-105.0,6,5.67698
-20.0,32,5.690312
-19.0,32,5.702954
-23.0,32,5.715591
-19.0,32,5.728909
-105.0,6,5.731166
-16.0,32,5.743879
-20.0,32,5.757181
-32.0,32,5.794335
-24.0,32,5.811162
-11.0,32,5.823471
-26.0,32,5.836143
-106.0,7,5.839407
-19.0,32,5.851733
-29.0,32,5.864883
-23.0,32,5.880806
-23.0,32,5.894241
-20.0,32,5.908594
-29.0,32,5.921939
-101.0,2,5.923177
-18.0,32,5.935811
-22.0,32,5.948275
-22.0,32,5.961674
-104.0,5,5.963709
-20.0,32,5.979044
-17.0,32,5.992666
-17.0,32,6.005332
-21.0,32,6.017436
-24.0,32,6.030581
-18.0,32,6.043214
-18.0,32,6.056314
-22.0,32,6.068851
-18.0,32,6.08377
-103.0,4,6.085901
-24.0,32,6.099175
-16.0,32,6.112016
-13.0,32,6.12447
-12.0,32,6.138982
-12.0,32,6.152953
-18.0,32,6.166241
-104.0,5,6.168356
-103.0,4,6.169328
-105.0,6,6.172206
-105.0,6,6.174476
-105.0,6,6.176778
-16.0,32,6.19223
-12.0,32,6.206416
-13.0,32,6.219712
-15.0,32,6.233237
-12.0,32,6.2462
-102.0,3,6.24772
-18.0,32,6.26084
-14.0,32,6.273251
-23.0,32,6.288893
-17.0,32,6.301728
-14.0,32,6.314668
-12.0,32,6.327151
-29.0,32,6.339391
-101.0,2,6.34061
-101.0,2,6.341048
-101.0,2,6.342182
-101.0,2,6.342636
-101.0,2,6.343069
-101.0,2,6.344213
-101.0,2,6.344648
-101.0,2,6.345793
-101.0,2,6.346229
-101.0,2,6.346651
-101.0,2,6.347766
-101.0,2,6.348188
-101.0,2,6.349316
-101.0,2,6.349753
-101.0,2,6.350179
-101.0,2,6.351365
-101.0,2,6.351814
-101.0,2,6.352976
-101.0,2,6.353416
-101.0,2,6.353844
-101.0,2,6.35496
-101.0,2,6.355384
-101.0,2,6.356507
-101.0,2,6.356943
-101.0,2,6.357372
-101.0,2,6.358496
-101.0,2,6.358915
-101.0,2,6.360066
-101.0,2,6.360492
-101.0,2,6.360914
-101.0,2,6.362018
-101.0,2,6.36244
-101.0,2,6.363559
-101.0,2,6.36399
-101.0,2,6.364407
-101.0,2,6.36555
-101.0,2,6.365983
-101.0,2,6.367151
-101.0,2,6.367601
-101.0,2,6.36803
-101.0,2,6.369167
-101.0,2,6.369588
-101.0,2,6.37068
-101.0,2,6.371109
-101.0,2,6.371525
-101.0,2,6.372664
-101.0,2,6.373084
-101.0,2,6.374231
-101.0,2,6.374659
-101.0,2,6.375076
-101.0,2,6.376211
-101.0,2,6.376635
-101.0,2,6.377774
-101.0,2,6.378211
-101.0,2,6.378635
-101.0,2,6.379761
-101.0,2,6.380181
-101.0,2,6.381283
-101.0,2,6.381711
-101.0,2,6.382143
-101.0,2,6.383274
-101.0,2,6.383755
-101.0,2,6.384957
-101.0,2,6.385399
-101.0,2,6.385826
-101.0,2,6.386975
-101.0,2,6.387404
-101.0,2,6.389674
-101.0,2,6.391069
-101.0,2,6.392135
-101.0,2,6.393555
-101.0,2,6.394007
-101.0,2,6.395205
-101.0,2,6.395652
-101.0,2,6.396075
-101.0,2,6.397237
-101.0,2,6.397666
-101.0,2,6.398797
-101.0,2,6.399221
-101.0,2,6.399639
-101.0,2,6.400847
-101.0,2,6.401389
-101.0,2,6.402629
-101.0,2,6.403072
-101.0,2,6.403492
-101.0,2,6.404653
-101.0,2,6.405093
-101.0,2,6.406236
-101.0,2,6.406671
-101.0,2,6.407094
-101.0,2,6.408238
-101.0,2,6.408662
-101.0,2,6.409781
-101.0,2,6.410227
-101.0,2,6.410645
-101.0,2,6.4118
-101.0,2,6.412232
-101.0,2,6.413372
-101.0,2,6.413801
-101.0,2,6.414222
-101.0,2,6.415354
-101.0,2,6.41578
-101.0,2,6.416922
-101.0,2,6.417436
-101.0,2,6.417855
-101.0,2,6.418991
-101.0,2,6.419419
-101.0,2,6.42057
-101.0,2,6.421002
-101.0,2,6.421421
-101.0,2,6.422552
